AssignDate,Client_LastName,Client_City,Client_Country,Supplier_Name,Supplier_City,Supplier_Country,Brand,Category,Quantity,Price
2025-09-26,Атаманюк,Дніпро,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,39,67.82
2025-07-09,Баклан,Львів,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,41,14.58
2025-07-10,Сімашкевич,Київ,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,47,86.44
2025-07-01,Юрчук,Львів,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,8,59.68
2025-08-14,Юрчишин,Одеса,Україна,GoodSupply,Львів,Україна,Fanta,Напої,42,107.15
2025-09-04,Андрієвич,Дніпро,Україна,EcoFoods,Одеса,Україна,Fanta,Напої,18,36.93
2025-07-07,Атрощенко,Дніпро,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,35,58.34
2025-08-13,Асаула,Київ,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,30,107.47
2025-09-04,Гаврюшенко,Дніпро,Україна,FreshTrade,Київ,Україна,Sprite,Напої,9,37.44
2025-10-29,Вівчаренко,Львів,Україна,EastMarket,Харків,Україна,Coca-Cola,Напої,14,111.38
2025-06-22,Карпенко,Харків,Україна,FreshTrade,Київ,Україна,Lipton Ice Tea,Напої,39,16.03
2025-09-11,Талан,Львів,Україна,EastMarket,Харків,Україна,Coca-Cola,Напої,25,73.36
2025-11-16,Таран,Одеса,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,16,30.64
2025-10-10,Атаманюк,Одеса,Україна,GoodSupply,Львів,Україна,Sprite,Напої,14,81.64
2025-09-05,Скирда,Львів,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,17,87.16
2025-06-09,Карпа,Одеса,Україна,EastMarket,Харків,Україна,Jacobs,Кава,30,54.87
2025-10-03,Червоненко,Львів,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,34,94.01
2025-11-18,Сацюк,Львів,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,17,81.88
2025-06-21,Філіпенко,Одеса,Україна,EcoFoods,Одеса,Україна,Milka,Солодощі,34,92.59
2025-10-25,Дерегус,Київ,Україна,EcoFoods,Одеса,Україна,Fanta,Напої,23,31.86
2025-05-30,Проценко,Львів,Україна,FreshTrade,Київ,Україна,Sprite,Напої,37,62.66
2025-10-24,Заруба,Одеса,Україна,GoodSupply,Львів,Україна,Jacobs,Кава,1,35.82
2025-05-31,Зінчук,Львів,Україна,FreshTrade,Київ,Україна,Coca-Cola,Напої,42,62.21
2025-10-07,Гайворонський,Дніпро,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,38,75.35
2025-06-20,Тихий,Київ,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,23,84.67
2025-11-08,Жадан,Київ,Україна,EcoFoods,Одеса,Україна,Milka,Солодощі,14,103.6
2025-09-09,Артеменко,Дніпро,Україна,EastMarket,Харків,Україна,Fanta,Напої,27,61.65
2025-07-25,Перепелиця,Дніпро,Україна,EastMarket,Харків,Україна,Jacobs,Кава,12,70.18
2025-07-05,Свириденко,Київ,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,36,79.27
2025-06-23,Шило,Харків,Україна,EastMarket,Харків,Україна,Milka,Солодощі,8,72.91
2025-07-28,Ящук,Харків,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,29,48.23
2025-05-27,Данько,Львів,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,29,104.82
2025-10-10,Дробаха,Харків,Україна,EastMarket,Харків,Україна,Snickers,Солодощі,24,59.46
2025-06-19,Михайлюк,Харків,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,37,14.37
2025-06-14,Колодуб,Львів,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,42,12.14
2025-09-16,Баштан,Львів,Україна,EastMarket,Харків,Україна,Milka,Солодощі,13,60.81
2025-10-24,Карпенко,Дніпро,Україна,FreshTrade,Київ,Україна,Snickers,Солодощі,26,52.6
2025-06-07,Жук,Одеса,Україна,FreshTrade,Київ,Україна,Snickers,Солодощі,2,64.85
2025-10-07,Тихий,Харків,Україна,EastMarket,Харків,Україна,Nescafe,Кава,35,18.71
2025-09-03,Матяш,Харків,Україна,GoodSupply,Львів,Україна,Sprite,Напої,4,95.93
2025-10-27,Єфименко,Київ,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,20,79.7
2025-10-27,Дзиндра,Дніпро,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,43,62.09
2025-08-20,Єресько,Львів,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,20,60.14
2025-08-23,Верес,Харків,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,11,58.5
2025-07-07,Дахно,Одеса,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,29,58.32
2025-07-06,Стець,Дніпро,Україна,FreshTrade,Київ,Україна,Jacobs,Кава,25,115.48
2025-09-28,Данчук,Одеса,Україна,EcoFoods,Одеса,Україна,Coca-Cola,Напої,46,51.84
2025-09-03,Данько,Одеса,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,38,20.78
2025-09-22,Кибкало,Одеса,Україна,EcoFoods,Одеса,Україна,Mars,Солодощі,49,59.78
2025-09-16,Іваненко,Харків,Україна,EcoFoods,Одеса,Україна,Mars,Солодощі,7,80.52
2025-07-30,Якимчук,Харків,Україна,EastMarket,Харків,Україна,Sprite,Напої,3,104.96
2025-08-20,Ванченко,Львів,Україна,EastMarket,Харків,Україна,Mars,Солодощі,20,66.85
2025-11-09,Чайка,Одеса,Україна,EastMarket,Харків,Україна,Sprite,Напої,33,68.51
2025-07-19,Захаренко,Харків,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,3,114.89
2025-08-30,Романчук,Львів,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,21,109.89
2025-07-06,Заїка,Дніпро,Україна,EastMarket,Харків,Україна,Mars,Солодощі,42,68.4
2025-10-24,Микитюк,Київ,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,16,42.91
